candidate,arm,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
"('Zanaq', '2006')",net,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-3.0,-4.0,-3.0,-5.0,-8.0,-9.0,-11.0,-13.0,-16.0,-18.0
"('Zappa.jake', '2006')",net,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-2.0,-4.0,-8.0,-8.0,-9.0,-8.0,-12.0,-7.0,-13.0
"('Zapptastic', '2006')",net,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,6.0,8.0,9.0,10.0,13.0,11.0,8.0,7.0,10.0,9.0
"('Zpb52', '2006')",net,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-2.0,-1.0,1.0,3.0,6.0,4.0,5.0,1.0,0.0,-1.0,-2.0
"('Zzuuzz', '2006')",net,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,9.0,12.0,14.0,19.0,21.0,28.0,30.0,32.0,34.0,36.0
"('23skidoo', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,17.0,21.0,25.0,31.0,36.0,42.0,48.0,56.0
"('A Man In Black', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,9.0,11.0,14.0,17.0,18.0,21.0,26.0
"('ABCD', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,4.0,5.0,7.0,5.0,8.0,9.0,12.0,15.0,17.0,18.0,22.0
"('Acetic Acid', '2005')",net,1.0,0.0,0.0,-2.0,1.0,4.0,6.0,9.0,14.0,19.0,24.0,32.0,40.0,50.0,61.0,72.0,68.0,78.0
"('Adashiel', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,22.0,26.0,30.0,32.0,38.0
"('Alabamaboy', '2005')",net,0.0,0.0,0.0,1.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,17.0,21.0,23.0,28.0,33.0,38.0,45.0
"('Alai', '2005')",net,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,16.0,20.0,24.0,30.0,35.0,40.0,46.0,54.0
"('Alhutch', '2005')",net,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,11.0,14.0,16.0,19.0,21.0,25.0
"('Alkivar', '2005')",net,1.0,2.0,4.0,6.0,5.0,6.0,5.0,8.0,12.0,14.0,18.0,24.0,32.0,39.0,47.0,48.0,51.0,59.0
"('Ancheta Wis', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('Andrew Norman', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,17.0,20.0,22.0,26.0
"('Android79', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('Awolf002', '2005')",net,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,1.0,2.0,4.0,6.0,6.0,8.0,10.0,13.0,16.0,18.0,21.0
"('BD2412', '2005')",net,2.0,4.0,5.0,9.0,14.0,18.0,23.0,27.0,36.0,46.0,55.0,68.0,82.0,100.0,118.0,136.0,155.0,182.0
"('Beland', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('Bhadani', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,24.0,28.0,31.0,33.0
"('Biekko', '2005')",net,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,6.0,8.0,9.0,10.0,12.0,16.0
"('BillyH', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,7.0,9.0,10.0,14.0,18.0,21.0,22.0
"('Bmicomp', '2005')",net,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,13.0,16.0,20.0,24.0,29.0,34.0,40.0,45.0,51.0
"('Bogdangiusca', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,11.0,14.0,17.0,20.0,22.0,24.0,24.0,31.0
"('BorgHunter', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,9.0,11.0,13.0,14.0,13.0,14.0,15.0,19.0
"('BorgQueen', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,22.0,25.0,30.0
"('Bovlb', '2005')",net,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,11.0,14.0,16.0,19.0,20.0,24.0
"('Brendanconway', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,11.0,14.0,16.0,20.0,22.0,26.0,30.0
"('Brian Kendig', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,8.0,10.0,13.0,16.0,18.0,20.0,24.0,28.0,32.0
"('Briangotts', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,16.0,19.0,19.0,23.0
"('BrianSmithson', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,19.0,24.0,28.0,32.0,37.0,43.0
"('Brighterorange', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('Brookie', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,18.0,21.0,24.0,27.0,32.0
"('Bumm13', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0,7.0,10.0,12.0,16.0,19.0,24.0,29.0,31.0,36.0,42.0
"('Bunchofgrapes', '2005')",net,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,24.0,27.0,32.0
"('CambridgeBayWeather', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,19.0,24.0,28.0,32.0,37.0,41.0
"('Capitalistroadster', '2005')",net,1.0,2.0,3.0,5.0,7.0,9.0,12.0,14.0,18.0,23.0,28.0,34.0,41.0,51.0,59.0,68.0,77.0,91.0
"('Carnildo', '2005')",net,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,6.0,6.0,9.0,11.0,14.0,16.0,19.0,24.0
"('Celestianpower', '2005')",net,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,7.0,11.0,16.0,22.0,30.0,37.0,45.0,53.0,64.0
"('Cleared as filed', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,24.0,28.0,30.0,36.0
"('CLW', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,11.0,14.0,16.0,20.0,22.0,26.0,30.0
"('Cnwb', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,17.0,21.0,25.0,28.0,32.0,38.0
"('Commander Keane', '2005')",net,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,21.0,24.0,29.0,33.0,38.0,45.0
"('Croat Canuck', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,7.0,7.0,9.0,10.0,10.0,12.0,14.0,16.0
"('Cryptic', '2005')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,15.0,18.0,22.0,27.0,33.0,40.0,45.0,53.0,60.0,71.0
"('Cyberjunkie', '2005')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,34.0,40.0,46.0,52.0,61.0
"('Dan100', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,17.0,20.0,22.0,26.0
"('Darwinek', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,5.0,4.0,7.0,5.0,7.0,10.0,15.0,20.0,22.0,27.0,34.0
"('David Levy', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,20.0,24.0,26.0,28.0,32.0
"('Deathphoenix', '2005')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,32.0,38.0,44.0,50.0,59.0
"('Deltabeignet', '2005')",net,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-2.0,-1.0,0.0,2.0,3.0,6.0,8.0,7.0,8.0,11.0,13.0,16.0
"('Demi', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,17.0,21.0,26.0,31.0,37.0,43.0,48.0,57.0
"('Denelson83', '2005')",net,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,0.0,-1.0,-3.0,0.0,4.0,7.0,13.0,16.0,21.0,24.0,28.0
"('DESiegel', '2005')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,29.0,34.0,39.0,42.0,48.0
"('Dmcdevit', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,15.0,17.0,20.0,24.0
"('Doc glasgow', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,13.0,16.0,17.0,22.0,26.0,29.0,32.0,38.0
"('DragonflySixtyseven', '2005')",net,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,23.0,27.0,32.0,35.0,40.0,48.0
"('DrBob', '2005')",net,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,11.0,13.0,14.0,18.0,20.0,23.0,27.0,32.0,39.0
"('Drini', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,19.0,23.0,27.0,32.0,36.0,42.0
"('Durin', '2005')",net,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,14.0,17.0,21.0,26.0,32.0,38.0,44.0,50.0,59.0
"('Dvyost', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,28.0,33.0
"('Edcolins', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,5.0,6.0,8.0,11.0,13.0,16.0,19.0,22.0,26.0
"('EdwinHJ', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,19.0,22.0,22.0
"('Egil', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,48.0
"('El C', '2005')",net,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,5.0,7.0,10.0,13.0,14.0,18.0,18.0,21.0,27.0
"('Enochlau', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,20.0,23.0,27.0
"('Essjay', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,11.0,15.0,19.0,23.0,28.0,33.0,38.0,45.0
"('EvanProdromou', '2005')",net,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,6.0,6.0,6.0,10.0,13.0,11.0,15.0,18.0
"('Evercat', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,7.0,8.0,10.0,13.0,15.0,19.0,21.0,25.0,29.0
"('Evil Monkey', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,19.0,22.0,25.0,29.0
"('Evilphoenix', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,18.0,21.0,24.0,27.0,31.0
"('Extreme Unction', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,8.0,9.0,10.0,13.0,12.0,13.0,16.0,18.0,20.0,21.0,25.0,32.0
"('Fastfission', '2005')",net,1.0,2.0,3.0,4.0,6.0,8.0,11.0,13.0,17.0,21.0,26.0,32.0,38.0,47.0,54.0,63.0,71.0,84.0
"('FayssalF', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,16.0,20.0,24.0,28.0,32.0,38.0
"('FeloniousMonk', '2005')",net,1.0,1.0,2.0,3.0,3.0,3.0,4.0,6.0,9.0,10.0,11.0,12.0,15.0,20.0,22.0,27.0,31.0,37.0
"('Fernando Rizo', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,10.0,10.0,12.0,15.0,18.0,19.0,23.0
"('FireFox', '2005')",net,1.0,2.0,3.0,5.0,7.0,10.0,12.0,14.0,19.0,24.0,29.0,36.0,43.0,53.0,61.0,71.0,81.0,91.0
"('Flcelloguy', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,4.0,6.0,8.0,10.0,12.0,15.0,16.0,18.0,22.0
"('Freakofnurture', '2005')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,24.0,29.0,36.0,42.0,47.0,51.0,61.0
"('Freestylefrappe', '2005')",net,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,0.0,3.0,6.0,9.0,13.0,18.0,18.0,19.0,25.0,25.0,21.0
"('FreplySpang', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,8.0,10.0,13.0,15.0,18.0,21.0,24.0,28.0
"('Friday', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,13.0,17.0,21.0,25.0,27.0,32.0,37.0
"('Func', '2005')",net,1.0,2.0,2.0,4.0,6.0,8.0,9.0,11.0,15.0,19.0,22.0,28.0,34.0,41.0,49.0,56.0,64.0,75.0
"('Fvw', '2005')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,13.0,16.0,19.0,24.0,26.0,29.0,33.0,35.0,40.0,47.0
"('Garzo', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,29.0,33.0,39.0
"('Goodoldpolonius2', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,9.0,12.0,15.0,18.0,23.0,27.0,32.0,36.0,43.0
"('GraemeL', '2005')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,20.0,24.0,30.0,36.0,44.0,52.0,60.0,66.0,78.0
"('Graft', '2005')",net,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,5.0,6.0,8.0,11.0,13.0,13.0,13.0,17.0,21.0
"('GregAsche', '2005')",net,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,21.0,25.0,30.0,34.0,37.0,44.0
"('Grenavitar', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,17.0,21.0,26.0,29.0,33.0,39.0,43.0,52.0
"('Grutness', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,18.0,21.0,24.0
"('GTBacchus', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,13.0,16.0,20.0,24.0,28.0,32.0,38.0
"('Guettarda', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,10.0,12.0,16.0,19.0,20.0,23.0,28.0
"('Gurubrahma', '2005')",net,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,19.0,22.0,28.0,32.0,38.0,42.0,50.0
"('Hall Monitor', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,19.0,22.0,23.0,27.0
"('Hamster Sandwich', '2005')",net,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,12.0,15.0,18.0,18.0,20.0,24.0,28.0
"('Harro5', '2005')",net,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-2.0,-1.0,3.0,8.0,14.0,21.0,28.0,36.0,43.0,54.0
"('Hedley', '2005')",net,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,6.0,9.0,12.0
"('Henrygb', '2005')",net,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,7.0,6.0,6.0,6.0,9.0,13.0,17.0,22.0
"('Hermione1980', '2005')",net,1.0,1.0,2.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,10.0,12.0,16.0,21.0,27.0,29.0,30.0,37.0
"('HorsePunchKid', '2005')",net,1.0,1.0,2.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,18.0,21.0,27.0,31.0,37.0,41.0,49.0
"('Howcheng', '2005')",net,1.0,1.0,2.0,4.0,6.0,7.0,9.0,11.0,15.0,18.0,22.0,28.0,33.0,41.0,48.0,56.0,63.0,74.0
"('Humblefool', '2005')",net,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,11.0,14.0,16.0,15.0,17.0,19.0
"('Ianblair23', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0,17.0,21.0,26.0,31.0,37.0,43.0,48.0,57.0
"('Ianbrown', '2005')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,13.0,16.0,19.0,24.0,28.0,35.0,41.0,47.0,53.0,62.0
"('IceKarma', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,8.0,8.0,11.0,13.0,15.0,18.0,21.0,25.0
"('Improv', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,8.0,10.0,13.0,16.0,18.0,20.0,24.0
"('Izehar', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,17.0,21.0,23.0,29.0,34.0,39.0,45.0,53.0
"('Jacoplane', '2005')",net,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,7.0,10.0,12.0,14.0,17.0,20.0,23.0,26.0
"('Jareth', '2005')",net,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,3.0,5.0,5.0,8.0,8.0,10.0,13.0,15.0,19.0,22.0
"('Jaxl', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,11.0,14.0,16.0,19.0,22.0,26.0,30.0,35.0
"('Jcw69', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,19.0,22.0,25.0,29.0
"('Jdavidb', '2005')",net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,18.0,22.0
"('Jeffrey O. Gustafson', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,11.0,14.0,16.0,20.0,22.0,26.0,30.0
"('Jkelly', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,14.0,18.0,22.0,26.0,31.0,36.0,41.0,46.0
"('Jnothman', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,10.0,12.0,16.0,19.0,24.0,29.0,33.0,38.0,43.0
"('JoanneB', '2005')",net,1.0,2.0,3.0,4.0,6.0,9.0,11.0,13.0,16.0,21.0,25.0,31.0,38.0,46.0,55.0,63.0,72.0,85.0
"('Johann Wolfgang', '2005')",net,1.0,1.0,2.0,3.0,4.0,5.0,5.0,7.0,7.0,9.0,11.0,15.0,17.0,20.0,21.0,18.0,19.0,23.0
"('Johntex', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,14.0,17.0,21.0,25.0,27.0,29.0,35.0
"('Jondel', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,11.0,14.0,16.0,20.0,22.0,26.0,30.0
"('Journalist', '2005')",net,-1.0,0.0,1.0,1.0,0.0,-1.0,-2.0,-1.0,2.0,7.0,12.0,19.0,26.0,36.0,45.0,55.0,65.0,79.0
"('JRM', '2005')",net,1.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,10.0,12.0,13.0,17.0,20.0,26.0,30.0,36.0,40.0,48.0
"('Jtkiefer', '2005')",net,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,7.0,8.0,10.0,11.0,14.0,15.0,16.0,21.0
"('JWSchmidt', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,16.0,18.0,21.0,25.0
"('Karmafist', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,14.0,16.0,21.0,24.0,29.0,33.0,38.0,44.0,50.0
"('Katefan0', '2005')",net,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,21.0,25.0,30.0,34.0,37.0,42.0
"('Kirill Lokshin', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,9.0,11.0,14.0,16.0,20.0,23.0,27.0,31.0,36.0
"('Kmccoy', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,11.0,13.0,16.0,19.0,20.0,23.0,27.0,33.0
"('KnowledgeOfSelf', '2005')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,12.0,15.0,18.0,22.0,27.0,32.0,38.0,44.0,50.0,59.0
"('Kwamikagami', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0,12.0,15.0,20.0,25.0,29.0
"('Lacrimosus', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,20.0,21.0,25.0
"('Leithp', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,21.0,25.0,28.0,33.0
"('Linuxbeak', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,9.0,11.0,14.0,16.0,20.0,22.0,26.0,28.0
"('Longhair', '2005')",net,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,13.0,15.0,19.0,22.0,26.0,29.0,34.0
"('Lucky 6.9', '2005')",net,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,12.0,12.0,15.0,16.0,18.0,22.0,24.0,28.0,31.0,34.0
"('Luigi30', '2005')",net,-1.0,-2.0,-2.0,-2.0,-2.0,-4.0,-5.0,-4.0,-4.0,-3.0,-1.0,5.0,5.0,11.0,13.0,18.0,18.0,22.0
"('Mairi', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,13.0,15.0,19.0,23.0,26.0,28.0,32.0
"('Malathion', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,15.0,18.0,20.0,23.0,25.0
"('Malo', '2005')",net,1.0,1.0,2.0,3.0,5.0,6.0,8.0,9.0,12.0,15.0,18.0,23.0,27.0,34.0,40.0,46.0,52.0,61.0
"('Marine 69-71', '2005')",net,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,12.0,13.0,16.0,20.0
"('MarkGallagher', '2005')",net,1.0,2.0,3.0,5.0,8.0,10.0,13.0,15.0,20.0,25.0,30.0,38.0,45.0,56.0,66.0,76.0,86.0,101.0
"('MarkSweep', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,19.0,21.0,25.0,29.0,33.0,39.0
"('Master Thief Garrett', '2005')",net,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,5.0,8.0,9.0,8.0,9.0,13.0
"('MC MasterChef', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,23.0,27.0,30.0,34.0,40.0
"('Mel Etitis', '2005')",net,1.0,1.0,1.0,0.0,1.0,2.0,4.0,5.0,7.0,9.0,12.0,15.0,18.0,23.0,27.0,32.0,36.0,43.0
"('Mike Rosoft', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,16.0,20.0,24.0,29.0,31.0,35.0,40.0
"('Mindmatrix', '2005')",net,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,12.0,15.0,18.0,23.0,27.0,32.0,36.0,43.0
"('Mindspillage', '2005')",net,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,12.0,14.0,17.0,20.0,23.0,24.0,29.0
"('Mo0', '2005')",net,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,6.0,8.0,10.0,13.0,15.0,18.0,22.0,26.0,29.0,35.0
"('MONGO', '2005')",net,1.0,2.0,2.0,2.0,4.0,6.0,5.0,7.0,11.0,13.0,16.0,20.0,25.0,29.0,30.0,35.0,36.0,43.0
"('Mushroom', '2005')",net,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,11.0,14.0,16.0,19.0,21.0,25.0
"('Musical Linguist', '2005')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,15.0,19.0,23.0,29.0,33.0,42.0,50.0,58.0,67.0,79.0
"('Mysekurity', '2005')",net,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0,31.0,35.0,40.0,45.0
"('Nabla', '2005')",net,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,11.0,14.0,15.0,18.0,20.0,24.0
"('Nandesuka', '2005')",net,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,7.0,9.0,12.0,16.0,21.0
"('Natalinasmpf', '2005')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,10.0,14.0,18.0,19.0,24.0,30.0,36.0,40.0,44.0,52.0,59.0
