candidate,year,arm,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
Chmod007,2004,net,1,1,3,4,5,6,8,11,18,24
CyborgTosser,2004,net,1,2,5,7,8,12,15,21,24,26
David Gerard,2004,net,1,2,3,5,7,10,13,17,26,34
Duncharris,2004,net,1,2,4,5,6,10,11,15,17,24
Elf,2004,net,1,1,3,4,6,8,10,14,21,26
Fabiform,2004,net,1,1,3,4,5,8,10,13,20,24
Frazzydee,2004,net,1,1,3,4,5,8,10,13,20,26
GeneralPatton,2004,net,1,2,2,1,3,4,6,9,19,25
Geogre,2004,net,1,1,3,4,6,7,9,12,20,27
Grunt,2004,net,1,2,4,6,7,11,14,18,28,37
Guanaco,2004,net,1,0,3,5,5,9,11,13,11,9
Hyacinth,2004,net,1,1,3,4,5,8,10,14,18,25
Kate,2004,net,1,2,4,6,8,12,15,18,29,34
Mustafaa,2004,net,1,2,3,5,6,10,12,16,24,32
Neutrality,2004,net,3,6,11,11,12,17,24,20,37,49
Nohat,2004,net,1,1,3,4,5,8,10,13,17,23
PedanticallySpeaking,2004,net,1,0,-2,-3,-2,0,3,7,14,21
Rlandmann,2004,net,-1,-1,1,2,3,6,8,11,19,26
Rossami,2004,net,1,2,3,4,6,9,11,15,22,28
Snowspinner,2004,net,2,5,3,5,6,4,10,22,42,57
Stormie,2004,net,1,1,3,4,5,8,10,14,20,27
SWAdair,2004,net,1,2,3,4,6,9,11,12,17,23
TheCustomOfLife,2004,net,1,2,4,7,9,13,15,21,32,41
UtherSRG,2004,net,1,2,3,5,6,9,12,16,23,31
Wile E. Heresiarch,2004,net,1,1,2,4,5,8,9,10,17,23
Zoney,2004,net,1,1,3,4,6,8,10,14,21,28
Jor,2004,net,1,1,3,2,1,4,2,1,2,2
Lucky 6.9.08,2004,net,1,2,1,3,5,4,5,8,11,8
Lucky 6.9,2004,net,1,2,3,5,6,8,8,8,9,7
Plato.08,2004,net,1,0,-2,-2,-4,-8,-9,-10,-16,-19
Sam Spade,2004,net,-1,-1,2,2,1,2,2,5,6,3
BDD,2013,support,3,6,13,18,24,36,43,57,89,119
Bilby,2013,support,3,7,14,21,26,40,49,66,100,134
Darkwind,2013,support,3,6,11,15,20,31,39,52,81,108
INeverCry,2013,support,2,5,9,13,19,30,38,48,73,101
Jason Quinn,2013,support,2,6,9,16,22,35,45,61,98,138
Legoktm,2013,support,3,8,15,22,30,42,53,73,110,148
Lord Roem,2013,support,3,8,15,23,31,45,56,74,106,137
Mattythewhite,2013,support,2,6,11,17,22,34,41,55,81,102
Miniapolis,2013,support,2,5,10,14,19,24,31,43,63,84
Mkdw,2013,support,2,5,11,16,21,32,38,52,78,104
Nthep,2013,support,2,4,8,12,16,23,28,38,58,78
Ocaasi,2013,support,3,9,16,25,33,49,62,83,125,166
Paulmcdonald,2013,support,2,5,10,15,19,29,36,46,66,88
RockMagnetist,2013,support,2,5,10,15,19,29,36,48,73,96
Secret,2013,support,3,4,9,16,22,34,40,52,79,109
Shirt58,2013,support,2,6,12,17,23,34,43,55,78,105
Tokyogirl79,2013,support,3,7,15,22,30,44,56,74,109,146
West.andrew.g,2013,support,2,6,12,18,24,36,44,57,79,105
Ymblanter,2013,support,2,6,12,19,25,37,46,62,92,123
Banaticus,2013,support,1,3,7,9,11,13,14,16,22,27
Binksternet,2013,support,3,7,12,15,19,25,28,43,66,84
Carrite,2013,support,2,4,7,10,14,23,30,42,65,80
Dirtlawyer1,2013,support,3,7,14,21,27,38,48,64,80,92
Jasper Deng,2013,support,1,3,7,10,12,15,18,21,25,30
KumiokoCleanStart,2013,support,0,0,1,1,1,2,4,5,8,14
Piotrus,2013,support,0,2,4,6,8,12,15,22,30,46
Pjoef,2013,support,2,2,2,2,2,2,3,4,7,18
Theopolisme,2013,support,1,5,9,14,17,26,34,45,66,80
Vacation9,2013,support,1,1,1,3,4,5,6,7,8,8
Bagumba,2012,support,2,4,8,13,17,26,32,42,62,81
Basalisk,2012,support,2,4,7,8,10,16,22,31,45,63
Bbb23,2012,support,3,8,16,23,30,46,58,73,105,133
Berean Hunter,2012,support,3,8,16,24,32,48,60,80,120,160
Bgwhite,2012,support,2,6,12,19,25,37,45,59,90,110
Crisco 1492,2012,support,2,6,12,18,24,36,45,59,83,110
De728631,2012,support,1,4,7,11,15,22,27,36,55,73
Dennis Brown,2012,support,3,8,16,22,30,45,56,73,107,134
Dpmuk,2012,support,0,2,5,8,12,18,24,31,47,64
Ekabhishek,2012,support,2,2,6,10,14,24,31,40,60,78
Fayenatic london,2012,support,1,3,6,7,10,16,20,27,40,53
GiantSnowman,2012,support,2,5,10,15,20,31,38,51,76,101
Harrias,2012,support,3,6,13,19,26,38,47,63,96,127
ItsZippy,2012,support,1,3,7,11,15,23,29,39,56,67
Jenks24,2012,support,2,6,12,18,24,36,44,59,87,117
KTC,2012,support,3,8,15,22,29,44,55,70,98,129
Mark Arsten,2012,support,2,6,12,18,24,37,46,61,92,122
MikeLynch,2012,support,2,6,11,17,23,34,43,57,82,104
Monty845,2012,support,2,5,9,13,17,25,33,43,64,85
Mr. Stradivarius,2012,support,2,6,12,18,25,37,46,62,92,123
SarahStierch,2012,support,4,11,22,33,44,65,81,108,162,216
Scottywong,2012,support,2,4,8,13,18,27,35,46,69,89
Sergecross73,2012,support,2,5,10,15,20,28,35,47,72,96
TommyBoy,2012,support,3,5,9,16,22,34,42,55,83,107
Writ Keeper,2012,support,3,7,14,19,24,38,48,60,89,113
Yngvadottir,2012,support,2,5,9,12,15,22,28,31,53,72
Yunshui,2012,support,2,5,10,15,19,29,36,48,73,97
Zagalejo,2012,support,2,6,12,17,23,34,42,55,81,108
Î£,2012,support,4,11,21,32,41,60,73,96,118,138
Anbu121,2012,support,1,1,3,4,4,6,9,10,13,17
Apteva,2012,support,0,1,1,1,1,1,1,1,1,2
AutomaticStrikeout,2012,support,1,3,3,4,5,6,8,10,13,18
Avicennasis,2012,support,2,5,11,14,18,28,34,41,55,66
Calabe1992,2012,support,1,4,6,9,13,16,19,25,38,44
Dipankan001,2012,support,0,0,0,1,3,4,5,7,11,12
Faustus37,2012,support,0,0,0,0,0,0,0,0,0,1
Figureskatingfan,2012,support,1,3,6,10,13,16,17,21,27,29
Floydian,2012,support,1,3,4,7,7,10,14,16,21,24
GabeMc,2012,support,0,0,0,1,3,3,3,6,10,11
Gigs,2012,support,1,4,7,7,10,12,15,21,30,35
Hahc21,2012,support,1,1,1,1,2,4,5,5,6,7
History2007,2012,support,1,3,7,10,12,18,22,24,33,37
Ktr101,2012,support,1,3,6,9,12,17,21,28,38,46
Kumioko,2012,support,2,3,6,8,9,11,14,17,21,27
Lord Roem,2012,support,2,6,12,17,22,33,42,50,64,79
LuK3,2012,support,1,3,6,9,12,17,19,20,25,29
Mabdul,2012,support,3,7,13,20,26,34,37,47,69,83
Marcus Qwertyus,2012,support,0,0,1,1,2,4,4,5,12,20
Master&Expert,2012,support,0,0,4,6,7,11,13,19,28,39
Mlpearc,2012,support,2,6,12,18,24,34,42,51,67,82
MONGO,2012,support,0,0,0,1,1,2,2,3,4,4
Mr little irish,2012,support,1,1,1,1,1,2,2,3,4,5
My76Strat,2012,support,0,3,6,8,10,14,15,18,25,34
Northamerica1000,2012,support,2,6,8,12,12,13,13,18,28,37
Penyulap,2012,support,1,1,1,1,1,1,1,1,1,3
Pol430,2012,support,0,1,5,9,12,19,24,29,38,46
PumpkinSky,2012,support,2,5,9,13,16,25,27,36,48,58
QuiteUnusual,2012,support,3,6,13,19,24,36,44,50,68,85
Rcsprinter123,2012,support,1,1,2,2,2,2,2,2,5,5
Ryan Vesey,2012,support,4,8,15,22,30,39,50,65,88,117
Sven Manguard,2012,support,1,2,3,5,6,10,12,14,17,20
SwisterTwister,2012,support,2,6,11,16,21,29,32,40,54,67
Theopolisme,2012,support,1,2,2,3,3,8,10,17,24,30
Vibhijain,2012,support,1,2,3,3,5,7,8,11,15,16
28bytes,2011,support,3,6,13,20,26,38,48,64,96,128
5 albert square,2011,support,2,5,10,16,21,31,39,52,78,101
Acdixon,2011,support,2,5,9,14,19,27,33,43,62,82
Anomie,2011,support,3,8,17,25,33,50,62,83,123,162
Bahamut0013,2011,support,3,6,13,19,26,37,47,61,88,119
Boing! said Zebedee,2011,support,3,8,16,24,32,48,60,79,120,160
Catfish Jim and the soapdish,2011,support,2,6,11,17,21,32,41,55,81,108
CharlieEchoTango,2011,support,2,4,9,13,17,26,33,44,64,85
DeltaQuad,2011,support,2,6,12,18,22,34,43,56,79,103
Drmies,2011,support,4,10,21,31,42,62,78,102,152,203
ErikHaugen,2011,support,2,4,9,10,14,25,30,41,60,80
ErrantX,2011,support,2,5,9,14,18,26,33,43,64,85
FÃ¦,2011,support,3,8,15,23,31,46,58,76,106,126
Feezo,2011,support,0,2,3,5,7,11,15,22,33,47
Fluffernutter,2011,support,3,8,15,23,30,46,57,76,114,152
GB fan,2011,support,2,4,9,12,17,26,32,43,66,88
Gfoley4,2011,support,2,4,8,13,17,24,29,39,54,71
Gimme danger,2011,support,2,5,8,10,15,23,27,37,56,77
Gonzonoir,2011,support,2,4,9,13,17,26,32,43,64,86
Guerillero,2011,support,1,3,6,9,13,20,25,30,45,59
HJ Mitchell,2011,support,4,10,20,30,41,58,70,88,129,164
Ironholds,2011,support,4,9,18,27,36,54,68,85,127,166
JaGa,2011,support,2,4,8,12,16,24,30,41,62,83
January,2011,support,2,4,9,14,18,27,33,44,67,89
Jimp,2011,support,2,4,8,12,16,22,27,36,54,74
Ks0stm,2011,support,2,5,10,15,20,29,36,44,57,75
Kudpung,2011,support,3,6,13,18,25,36,45,60,78,106
Lear's Fool,2011,support,2,3,7,12,17,26,34,44,67,94
MichaelQSchmidt,2011,support,2,6,12,17,23,34,43,57,83,108
Neelix,2011,support,1,1,5,9,13,19,27,37,53,69
Peridon,2011,support,1,3,7,10,14,19,23,31,48,64
Ponyo,2011,support,2,4,8,12,16,23,29,39,55,75
Qwyrxian,2011,support,2,6,11,17,23,31,40,54,79,104
Rami R,2011,support,2,4,8,10,13,18,22,30,48,66
RannphÃ¡irtÃ­ anaithnid,2011,support,2,4,8,13,17,25,30,37,57,71
Reaper Eternal,2011,support,3,7,13,20,26,40,50,66,98,129
Redrose64,2011,support,2,5,10,14,17,27,35,44,64,88
RHM22,2011,support,1,3,5,10,15,23,27,38,56,78
Richwales,2011,support,2,5,8,12,16,25,33,45,64,84
Sadads,2011,support,2,5,10,15,20,31,38,51,73,97
Salvio giuliano,2011,support,2,6,12,17,23,35,44,57,86,111
SarekOfVulcan,2011,support,5,10,20,30,38,52,62,84,123,164
Slon02,2011,support,2,5,9,12,16,30,38,55,94,123
Smartse,2011,support,3,6,13,20,26,39,49,65,97,129
Swarm,2011,support,2,5,11,16,21,32,40,53,79,105
The Blade of the Northern Lights,2011,support,3,7,13,20,27,40,50,66,100,133
The Bushranger,2011,support,2,5,11,16,21,32,39,48,66,87
Tom Morris,2011,support,2,5,9,13,18,28,35,46,71,96
TParis,2011,support,1,3,6,8,10,15,19,26,38,48
Tyrol5,2011,support,1,3,6,10,13,20,24,32,49,65
Valfontis,2011,support,1,3,6,10,13,19,24,32,48,63
Worm That Turned,2011,support,3,6,12,18,24,37,45,60,91,121
Ancient Apparition,2011,support,1,2,3,4,4,5,5,7,12,14
Armbrust,2011,support,0,0,2,3,4,5,5,7,12,15
Buggie111,2011,support,1,2,3,4,5,9,12,12,17,20
BuickCenturyDriver,2011,support,0,1,1,3,4,6,6,6,6,9
BusterD,2011,support,1,2,3,3,5,6,7,8,12,16
Ctjf83,2011,support,2,4,9,15,18,24,30,38,50,55
Dayewalker,2011,support,1,3,6,8,10,14,15,21,28,31
Dudemanfellabra,2011,support,1,1,1,1,1,3,4,6,8,11
Dylan620,2011,support,2,6,13,20,27,37,46,60,76,84
E2eamon,2011,support,1,3,5,8,10,15,19,24,29,30
Ebikeguy,2011,support,1,1,1,1,1,2,2,4,4,6
GiantSnowman,2011,support,2,6,9,12,16,21,27,33,51,75
Glane23,2011,support,2,3,6,9,11,14,17,22,36,46
Guoguo12,2011,support,1,2,4,6,8,11,14,19,25,30
Hazard-SJ,2011,support,0,1,1,1,1,1,2,3,6,6
ItsZippy,2011,support,0,0,1,2,3,3,4,5,8,9
JÃ©skÃ© Couriano,2011,support,0,1,2,3,3,3,3,5,8,9
Jsfouche,2011,support,1,2,4,5,8,13,18,26,37,45
Logan,2011,support,2,5,9,14,20,30,38,49,67,76
My76Strat,2011,support,2,5,10,14,16,20,21,24,33,42
N419BH,2011,support,1,2,3,4,5,6,7,9,11,15
N5iln,2011,support,2,3,5,8,11,17,21,26,42,50
Neutralhomer,2011,support,1,2,3,7,10,12,16,20,35,41
NickPenguin,2011,support,1,1,3,3,6,9,12,21,37,51
RadioFan,2011,support,1,1,3,4,5,5,5,6,6,6
Reenem,2011,support,0,0,0,0,0,1,2,2,3,4
Rehman,2011,support,0,1,2,4,5,7,8,11,11,12
Richardcavell,2011,support,1,3,6,6,7,10,11,12,21,27
RobertMfromLI,2011,support,1,1,3,4,4,7,7,10,13,17
Snottywong,2011,support,2,3,7,9,13,15,20,26,34,43
Staffwaterboy,2011,support,0,0,0,1,1,3,3,4,6,7
Steven Zhang,2011,support,4,8,15,23,31,47,60,78,104,123
Ttonyb1,2011,support,1,1,2,2,4,6,6,6,12,15
7,2010,support,2,4,9,14,18,27,35,47,71,92
Airplaneman,2010,support,4,8,13,20,24,28,41,63,107,149
AlexandrDmitri,2010,support,2,5,11,16,21,32,40,53,78,96
Amatulic,2010,support,2,4,8,12,16,25,29,39,59,80
Arsenikk,2010,support,2,5,11,16,22,33,41,54,81,107
Barek,2010,support,0,2,6,9,12,19,24,33,48,65
BigDom,2010,support,3,8,14,18,22,36,42,55,95,117
Blurpeace,2010,support,2,4,9,13,16,23,30,40,61,81
Bradjamesbrown,2010,support,2,6,11,17,22,34,42,55,83,111
Bsadowski1,2010,support,2,6,9,14,19,30,38,49,63,75
Bwilkins,2010,support,2,6,12,16,22,33,41,55,80,106
Calmer Waters,2010,support,2,3,7,11,14,23,30,40,59,81
Ceranthor,2010,support,3,7,14,21,27,41,51,68,101,133
Connormah,2010,support,3,5,9,16,29,53,72,95,155,221
Dabomb87,2010,support,4,9,19,28,38,57,71,94,142,188
Dana boomer,2010,support,2,6,12,19,25,37,46,60,90,120
Diannaa,2010,support,2,5,11,15,19,28,36,48,66,89
Eagles247,2010,support,3,6,13,19,26,38,46,61,93,125
Elen of the Roads,2010,support,4,9,17,27,36,54,67,88,131,172
Elockid,2010,support,2,5,10,15,20,28,35,47,71,89
Eustress,2010,support,1,4,7,11,15,22,27,35,54,70
Everyking,2010,support,2,7,15,23,33,50,62,87,132,178
Excirial,2010,support,1,5,10,16,21,33,40,54,81,108
Fainites,2010,support,2,6,11,17,23,34,43,57,86,114
Father Goose,2010,support,1,3,4,8,11,18,20,27,42,58
Favonian,2010,support,3,7,13,20,26,39,49,64,95,128
Fetchcomms,2010,support,3,6,13,19,25,37,46,62,92,124
Floquenbeam,2010,support,3,7,14,22,28,42,51,63,85,112
GorillaWarfare,2010,support,0,2,7,12,16,26,33,42,66,86
Grondemar,2010,support,2,5,8,12,17,25,32,43,65,86
HelloAnnyong,2010,support,2,4,9,13,18,27,33,44,67,88
HJ Mitchell,2010,support,3,7,14,21,28,40,50,65,89,112
J04n,2010,support,1,3,6,10,13,19,24,32,47,63
JamesBWatson,2010,support,2,6,11,17,23,34,43,57,84,102
Jamesofur,2010,support,2,5,11,14,20,28,35,46,69,84
Jmh649,2010,support,2,5,9,13,19,28,34,46,74,102
Joe Decker,2010,support,2,4,9,13,17,26,32,43,61,78
Jujutacular,2010,support,2,4,8,12,16,24,30,40,58,78
Kingpin13,2010,support,2,6,12,17,23,34,43,58,86,115
Kww,2010,support,3,7,15,22,30,44,55,69,102,134
Leonard^Bloom,2010,support,2,6,11,17,22,33,42,55,78,102
Leyo,2010,support,1,4,9,14,19,29,34,45,67,92
Looie496,2010,support,2,6,12,18,24,35,42,57,84,111
Magog the Ogre,2010,support,1,4,7,11,13,21,26,34,49,65
Mandsford,2010,support,2,4,8,12,16,23,28,37,48,59
MGA73,2010,support,1,3,9,14,20,30,37,46,67,90
Michig,2010,support,2,4,8,13,17,26,31,41,63,83
Mike Cline,2010,support,2,5,6,9,13,19,24,32,49,68
Mkativerata,2010,support,2,6,12,17,23,34,43,58,85,112
NativeForeigner,2010,support,2,4,8,12,15,22,28,36,52,66
Nev1,2010,support,3,9,17,26,34,52,63,80,115,148
Nikkimaria,2010,support,2,5,9,14,19,28,35,47,69,93
Olaf Davis,2010,support,2,6,12,17,22,31,39,54,79,108
Panyd,2010,support,3,4,8,11,13,15,22,42,82,121
Phantomsteve,2010,support,2,5,11,16,22,32,40,53,81,108
Polargeo,2010,support,2,5,12,18,25,37,47,63,95,125
PresN,2010,support,2,4,8,11,15,22,28,37,54,70
Rlendog,2010,support,2,5,11,16,20,31,38,50,77,101
Ron Ritzman,2010,support,3,6,13,22,30,46,58,76,105,140
Shirik,2010,support,2,5,11,15,21,31,39,52,77,101
Soap,2010,support,4,9,18,27,36,54,68,90,135,180
Sphilbrick,2010,support,3,7,12,19,26,39,47,63,89,118
Taelus,2010,support,2,4,8,11,15,23,27,37,53,69
TFOWR,2010,support,2,6,10,16,22,33,41,55,79,104
The Wordsmith,2010,support,2,6,12,18,24,36,45,60,91,118
TheCatalyst31,2010,support,2,5,9,14,15,21,24,32,48,67
Theleftorium,2010,support,2,6,12,18,24,36,45,60,90,120
Thumperward,2010,support,3,8,16,22,30,43,52,63,88,110
Tide rolls,2010,support,3,8,16,25,33,49,61,81,123,161
Tim Song,2010,support,3,6,13,19,27,40,51,67,94,121
VejvanÄickÃ½,2010,support,2,5,9,14,19,27,34,45,68,89
VernoWhitney,2010,support,3,7,15,22,29,43,55,73,112,150
Waldir,2010,support,2,4,8,12,16,23,29,38,57,76
Wifione,2010,support,2,6,12,17,23,34,41,53,75,90
WOSlinker,2010,support,2,4,9,13,18,26,33,44,64,83
28bytes,2010,support,0,2,5,7,8,10,13,16,25,30
Access Denied,2010,support,1,2,3,5,8,10,11,13,16,19
Addihockey10,2010,support,0,0,0,0,0,0,0,0,1,1
Aiken drum,2010,support,0,2,3,5,6,7,8,11,12,15
Alan16,2010,support,1,1,1,1,2,3,3,3,6,6
Alansohn,2010,support,2,4,8,13,16,20,23,25,31,39
ArcAngel,2010,support,0,0,0,0,0,1,1,2,3,4
Armbrust,2010,support,0,0,0,0,2,3,3,6,12,16
Blanchardb,2010,support,2,4,7,12,16,23,28,34,47,54
Cgoodwin,2010,support,2,4,5,7,11,18,20,25,35,39
Crotalus horridus,2010,support,0,1,1,2,2,3,3,3,3,4
DeltaQuad,2010,support,2,6,11,16,22,28,32,38,47,64
Dr Dec,2010,support,1,2,2,2,2,2,3,6,7,9
Dusti,2010,support,1,2,2,2,2,2,3,4,4,7
Falcon8765,2010,support,1,3,7,10,12,16,21,23,36,41
Gobbleswoggler,2010,support,0,0,0,0,0,1,1,1,1,2
Guoguo12,2010,support,1,2,2,3,4,6,8,10,14,18
Hadger,2010,support,1,1,1,2,3,4,5,8,8,11
Herostratus,2010,support,2,3,7,11,11,14,23,38,61,78
Immunize,2010,support,0,0,0,0,0,2,2,3,3,3
Ironholds,2010,support,2,5,9,15,19,26,32,38,50,65
Jc3s5h,2010,support,1,2,6,8,12,17,22,25,32,38
Jeffrey Mall,2010,support,1,3,5,8,11,13,16,17,23,27
Jerem43,2010,support,2,4,9,12,16,23,28,33,42,53
Jmcw37,2010,support,0,0,1,1,3,4,6,7,9,12
Kingoomieiii,2010,support,2,4,9,14,19,27,33,43,54,67
Ktr101,2010,support,1,3,5,7,8,11,12,14,18,21
Ling.Nut,2010,support,4,9,16,23,30,39,48,60,84,113
Marcus Qwertyus,2010,support,1,2,2,2,2,2,2,2,2,2
MC10,2010,support,0,1,2,5,5,6,7,9,18,27
Mikael HÃ¤ggstrÃ¶m,2010,support,1,1,1,1,1,1,4,7,11,12
MWOAP,2010,support,0,0,0,1,1,2,3,4,10,12
Mysdaao,2010,support,1,2,3,5,6,6,6,7,11,13
MZMcBride,2010,support,0,2,4,5,7,13,16,22,40,55
Nosleep,2010,support,1,1,3,4,4,5,7,8,10,12
Osarius,2010,support,1,2,3,4,5,5,6,8,11,15
Otherlleft,2010,support,0,2,5,7,9,14,19,26,34,44
Rami R,2010,support,2,4,9,11,14,19,25,33,51,61
RandomStringOfCharacters,2010,support,0,0,0,0,0,2,4,6,7,10
Redthoreau,2010,support,1,2,3,6,7,9,11,13,16,18
Reenem,2010,support,0,0,0,0,0,0,0,0,0,0
Rehman,2010,support,0,0,1,1,2,4,6,7,11,11
Richardcavell,2010,support,1,2,5,5,5,7,8,8,13,20
Richwales,2010,support,2,6,11,14,18,25,29,39,47,57
S Marshall,2010,support,1,2,4,6,7,10,13,17,25,30
Sam Blacketer,2010,support,2,4,5,7,9,11,11,15,23,27
Secret,2010,support,1,2,2,4,6,9,9,12,17,18
Silver seren,2010,support,2,3,7,10,13,16,17,23,30,37
Skater,2010,support,1,2,2,2,2,3,3,6,8,14
Slon02,2010,support,0,0,0,0,0,2,3,5,5,5
SMcCandlish,2010,support,1,2,3,4,4,5,7,8,17,24
T,2010,support,0,0,0,1,1,1,2,2,4,9
Terrasidius,2010,support,0,1,1,2,3,3,3,4,7,10
The Thing That Should Not Be,2010,support,4,9,18,29,33,50,66,85,115,159
The Utahraptor,2010,support,1,1,2,3,3,4,7,12,13,14
TransporterMan,2010,support,0,1,2,3,4,5,6,8,13,15
Unionhawk,2010,support,1,1,2,4,4,4,4,5,12,15
White Shadows,2010,support,1,2,4,4,5,6,7,7,8,10
Wikiwoohoo,2010,support,1,3,5,8,9,12,13,16,22,29
Wilhelmina Will,2010,support,1,1,1,2,2,2,2,4,4,4
William S. Saturn,2010,support,1,1,2,3,4,4,4,4,5,7
2over0,2009,support,2,5,9,14,19,28,35,47,70,94
Abecedare,2009,support,2,6,11,17,22,33,42,56,83,111
AdjustShift,2009,support,1,3,6,9,12,19,24,33,48,61
Admiral Norton,2009,support,2,4,7,11,16,24,29,40,60,81
Al Ameer son,2009,support,2,4,9,14,17,26,33,42,64,86
AlexiusHoratius,2009,support,1,4,7,10,14,21,27,36,55,73
Amalthea,2009,support,2,5,10,15,21,31,39,52,73,97
Amorymeltzer,2009,support,1,3,6,9,11,17,21,26,41,54
Arbitrarily0,2009,support,1,3,6,9,12,17,22,29,44,58
Atama,2009,support,2,5,10,15,20,30,37,47,66,87
Backslash Forwardslash,2009,support,3,7,18,27,33,46,56,76,123,172
Beeblebrox,2009,support,1,1,3,8,12,15,18,29,66,92
Bellhalla,2009,support,2,6,12,18,23,35,44,58,88,116
Bettia,2009,support,2,4,8,13,17,26,32,42,63,83
Billinghurst,2009,support,2,4,9,13,18,19,25,34,58,78
Bob the Wikipedian,2009,support,2,4,7,10,14,21,27,36,54,70
BOZ,2009,support,1,3,7,10,14,21,26,33,49,63
CactusWriter,2009,support,2,5,10,14,19,29,35,47,69,93
Camw,2009,support,0,2,5,9,12,19,22,31,51,69
Chamal N,2009,support,2,5,9,13,18,25,32,41,64,87
Ched Davis,2009,support,2,6,12,18,22,34,43,54,80,103
Climie.ca,2009,support,2,6,12,17,23,34,43,57,82,106
Closedmouth,2009,support,2,5,10,15,20,28,35,46,71,94
Cobi,2009,support,4,8,17,26,33,51,63,82,114,142
Colds7ream,2009,support,2,4,8,12,17,25,31,40,61,79
Cool3,2009,support,1,1,1,2,5,10,15,25,44,59
CRGreathouse,2009,support,1,4,9,14,17,21,26,34,56,76
Davemeistermoab,2009,support,2,5,10,15,19,28,34,42,58,69
decltype,2009,support,2,4,8,11,14,20,25,34,53,73
Dinoguy1000,2009,support,2,4,7,12,16,25,30,40,62,82
Drilnoth,2009,support,2,4,8,12,17,25,31,41,61,81
Dumelow,2009,support,1,3,6,9,12,18,22,30,43,57
Enigmaman,2009,support,7,18,35,44,52,76,90,115,194,276
Explicit,2009,support,1,4,7,11,14,22,27,36,54,72
Fastily,2009,support,1,4,7,9,12,17,19,28,44,55
Fences and windows,2009,support,3,7,14,19,26,38,46,63,96,128
FlyingToaster,2009,support,5,12,19,29,36,53,68,94,156,198
Foxy Loxy,2009,support,2,5,10,14,19,26,33,43,63,83
Franamax,2009,support,3,6,11,16,24,36,45,57,73,98
Fribbler,2009,support,1,2,5,9,11,16,21,29,42,55
Fribbulus Xax,2009,support,1,3,6,8,11,16,21,28,41,55
Ged UK,2009,support,2,5,9,14,19,28,34,45,65,86
Geni,2009,support,2,5,8,14,18,30,39,53,78,96
Graeme Bartlett,2009,support,2,5,10,14,18,27,35,46,69,92
Hawkeye7,2009,support,2,4,8,13,17,20,25,30,49,70
Jafeluv,2009,support,2,4,8,12,17,25,31,41,61,80
Jake Wartenberg,2009,support,3,8,15,23,30,45,57,76,113,149
JamieS93,2009,support,2,6,12,18,24,34,41,55,79,107
Jarry1250,2009,support,2,4,8,12,16,24,28,38,58,77
JohnCD,2009,support,2,4,8,12,16,24,30,40,59,77
Kanonkas,2009,support,2,6,11,16,22,33,41,54,81,109
Kateshortforbob,2009,support,2,4,8,10,13,20,25,32,49,66
Killervogel5,2009,support,2,5,10,13,18,27,33,45,68,92
Killiondude,2009,support,2,5,10,15,20,30,38,50,75,100
Kotra,2009,support,2,4,8,12,15,23,25,33,52,71
Laser brain,2009,support,3,6,13,19,25,38,46,62,93,125
Law,2009,support,3,6,13,19,23,31,37,49,73,99
LinguistAtLarge,2009,support,1,4,7,11,15,21,27,35,54,72
Maedin,2009,support,2,4,8,13,17,25,32,42,63,84
Malik Shabazz,2009,support,2,6,12,18,24,35,44,59,87,115
Materialscientist,2009,support,3,7,13,19,23,35,41,54,82,112
Maunus,2009,support,2,4,8,11,16,23,28,39,54,73
Mazca,2009,support,2,4,9,14,18,24,31,42,64,84
Mentifisto,2009,support,2,5,8,12,15,23,28,36,53,67
Mfield,2009,support,2,4,9,12,15,22,28,39,60,82
Mifter,2009,support,1,4,6,10,12,16,21,29,40,56
Mikaey,2009,support,0,0,2,4,8,11,13,26,53,80
Mjroots,2009,support,2,5,10,15,21,31,39,52,76,98
Mlaffs,2009,support,2,4,8,11,14,22,28,37,55,73
MLauba,2009,support,1,3,6,10,12,20,25,34,52,70
MrKIA11,2009,support,1,3,6,8,11,17,20,26,37,50
Msgj,2009,support,2,5,10,15,20,30,38,49,73,98
Mufka,2009,support,1,3,6,9,12,18,23,31,45,59
MuZemike,2009,support,3,7,13,20,26,39,49,64,92,121
MZMcBride,2009,support,6,14,28,42,51,62,84,131,202,268
Nja247,2009,support,1,3,6,10,13,20,23,31,46,61
NuclearWarfare,2009,support,3,7,14,22,29,43,54,71,105,139
OlEnglish,2009,support,2,5,10,14,19,28,36,47,67,91
Orlady,2009,support,3,6,13,20,25,34,43,54,79,102
OverlordQ,2009,support,2,5,9,11,14,21,27,37,52,72
Pastor Theo,2009,support,3,7,13,20,25,37,46,59,83,105
Patar knight,2009,support,1,3,6,9,12,17,21,28,41,52
Paxse,2009,support,2,5,9,13,17,26,33,45,67,89
PeterSymonds,2009,support,4,11,22,33,43,64,78,104,150,196
Plastikspork,2009,support,1,3,6,9,10,16,20,26,40,52
R'n'B,2009,support,2,4,8,12,17,25,31,42,61,80
Rambo's Revenge,2009,support,1,4,7,11,15,22,27,34,52,70
RegentsPark,2009,support,2,3,7,11,15,23,29,36,53,70
Rjanag,2009,support,3,7,14,20,27,40,51,67,100,133
RL0919,2009,support,2,5,7,10,14,21,25,35,54,71
Ronhjones,2009,support,2,4,8,13,17,26,31,42,65,88
